time, data
91.914, 1.18833
91.93, 1.18779
91.93, 1.18779
91.946, 1.1871
91.962, 1.18629
91.962, 1.18629
91.979, 1.18527
91.996, 1.18408
91.996, 1.18408
92.013, 1.18272
92.03, 1.18119
92.03, 1.18119
92.047, 1.17946
92.064, 1.17755
92.064, 1.17755
92.081, 1.17546
92.098, 1.17317
92.098, 1.17317
92.115, 1.17068
92.115, 1.17068
92.132, 1.16801
92.149, 1.16513
92.149, 1.16513
92.166, 1.16205
92.183, 1.15876
92.183, 1.15876
92.2, 1.15528
92.217, 1.15158
92.217, 1.15158
92.234, 1.14768
92.251, 1.14356
92.251, 1.14356
92.268, 1.13924
92.285, 1.13469
92.285, 1.13469
92.302, 1.12994
92.319, 1.12497
92.319, 1.12497
92.336, 1.11977
92.353, 1.11436
92.353, 1.11436
92.37, 1.10874
92.387, 1.10288
92.387, 1.10288
92.404, 1.0968
92.404, 1.0968
92.421, 1.0905
92.438, 1.08396
92.438, 1.08396
92.454, 1.0776
92.47, 1.07105
92.47, 1.07105
92.486, 1.06428
92.502, 1.05732
92.502, 1.05732
92.518, 1.05014
92.518, 1.05014
92.535, 1.04229
92.551, 1.03469
92.551, 1.03469
92.569, 1.02589
92.586, 1.01733
92.586, 1.01733
92.603, 1.00854
92.62, 0.99952
92.62, 0.99952
92.637, 0.990248
92.654, 0.980745
92.654, 0.980745
92.671, 0.971012
92.688, 0.961035
92.688, 0.961035
92.705, 0.95082
92.722, 0.940377
92.722, 0.940377
92.739, 0.929703
92.756, 0.918796
92.756, 0.918796
92.773, 0.907665
92.79, 0.896303
92.79, 0.896303
92.807, 0.884683
92.824, 0.87285
92.824, 0.87285
92.841, 0.860838
92.858, 0.848666
92.858, 0.848666
92.875, 0.836372
92.875, 0.836372
92.892, 0.82398
92.909, 0.811507
92.909, 0.811507
92.926, 0.798969
92.943, 0.786386
92.943, 0.786386
92.959, 0.774511
92.976, 0.761871
92.976, 0.761871
92.993, 0.749219
92.993, 0.749219
93.01, 0.736565
93.027, 0.723915
93.027, 0.723915
93.044, 0.711278
93.061, 0.698662
93.061, 0.698662
93.078, 0.686072
93.095, 0.673513
93.095, 0.673513
93.112, 0.660992
93.129, 0.648512
93.129, 0.648512
93.146, 0.636075
93.163, 0.623685
93.163, 0.623685
93.18, 0.611355
93.197, 0.599104
93.197, 0.599104
93.214, 0.586958
93.231, 0.574944
93.231, 0.574944
93.248, 0.563091
93.265, 0.551418
93.265, 0.551418
93.282, 0.539938
93.282, 0.539938
93.299, 0.528667
93.316, 0.517622
93.316, 0.517622
93.333, 0.506802
93.35, 0.496212
93.35, 0.496212
93.367, 0.485874
93.384, 0.475776
93.384, 0.475776
93.401, 0.465919
93.418, 0.456318
93.418, 0.456318
93.435, 0.446966
93.452, 0.437858
93.452, 0.437858
93.469, 0.428998
93.486, 0.420393
93.486, 0.420393
93.503, 0.412028
93.503, 0.412028
93.52, 0.403902
93.537, 0.39603
93.537, 0.39603
93.554, 0.388391
93.57, 0.381411
93.57, 0.381411
93.587, 0.374234
93.604, 0.367284
93.604, 0.367284
93.621, 0.360556
93.638, 0.354059
93.638, 0.354059
93.655, 0.347784
93.672, 0.341723
93.672, 0.341723
93.689, 0.335876
93.689, 0.335876
93.706, 0.330248
93.723, 0.324823
93.723, 0.324823
93.74, 0.319598
93.757, 0.314587
93.757, 0.314587
93.774, 0.309769
93.791, 0.305141
93.791, 0.305141
93.808, 0.300712
93.825, 0.296473
93.825, 0.296473
93.842, 0.292414
93.859, 0.288539
93.859, 0.288539
93.876, 0.284851
93.893, 0.281335
93.893, 0.281335
93.91, 0.277989
93.927, 0.274826
93.927, 0.274826
93.944, 0.271829
93.961, 0.268993
93.961, 0.268993
93.978, 0.266329
93.995, 0.263827
93.995, 0.263827
94.012, 0.261482
94.029, 0.259296
94.029, 0.259296
94.046, 0.257272
94.046, 0.257272
94.063, 0.255398
94.08, 0.253674
94.08, 0.253674
94.097, 0.252111
94.114, 0.250695
94.114, 0.250695
94.131, 0.249423
94.131, 0.249423
94.148, 0.248305
94.165, 0.247335
94.165, 0.247335
94.182, 0.246506
94.199, 0.245813
94.199, 0.245813
94.216, 0.245238
94.233, 0.244756
94.233, 0.244756
94.25, 0.244351
94.267, 0.244017
94.267, 0.244017
94.284, 0.243736
94.301, 0.2435
94.301, 0.2435
94.318, 0.243304
94.335, 0.243141
94.335, 0.243141
94.352, 0.243003
94.369, 0.242888
94.369, 0.242888
94.386, 0.242793
94.403, 0.242713
94.403, 0.242713
94.42, 0.242646
94.437, 0.24259
94.437, 0.24259
94.454, 0.242544
94.454, 0.242544
94.471, 0.242504
94.488, 0.242472
94.488, 0.242472
94.505, 0.242445
94.522, 0.242422
94.522, 0.242422
94.539, 0.242403
94.555, 0.242388
94.555, 0.242388
94.572, 0.242374
94.589, 0.242363
94.589, 0.242363
94.605, 0.242354
94.622, 0.242346
94.622, 0.242346
94.639, 0.24234
94.639, 0.24234
94.656, 0.242335
94.673, 0.242329
94.673, 0.242329
94.69, 0.242326
94.707, 0.242322
94.707, 0.242322
94.724, 0.24232
94.741, 0.242317
94.741, 0.242317
94.758, 0.242316
94.775, 0.242314
94.775, 0.242314
94.792, 0.242313
94.809, 0.242312
94.809, 0.242312
94.826, 0.242311
94.843, 0.24231
94.843, 0.24231
94.86, 0.242309
94.86, 0.242309
94.877, 0.242309
94.893, 0.242309
94.893, 0.242309
94.91, 0.242308
94.926, 0.242308
94.926, 0.242308
94.943, 0.242308
94.96, 0.242307
94.96, 0.242307
94.976, 0.242307
94.993, 0.242307
94.993, 0.242307
95.01, 0.242307
95.028, 0.242307
95.028, 0.242307
95.045, 0.242307
95.062, 0.242307
95.062, 0.242307
95.079, 0.242307
95.096, 0.242306
95.096, 0.242306
95.113, 0.242306
95.13, 0.242306
95.13, 0.242306
95.147, 0.242306
95.147, 0.242306
95.164, 0.242306
95.181, 0.242306
95.198, 0.242306
95.198, 0.242306
95.215, 0.242306
95.215, 0.242306
95.232, 0.242306
95.249, 0.242306
95.249, 0.242306
95.266, 0.242306
95.283, 0.242306
95.283, 0.242306
95.3, 0.242306
95.317, 0.242306
95.317, 0.242306
95.334, 0.242306
95.334, 0.242306
95.351, 0.242306
95.367, 0.242306
95.367, 0.242306
95.384, 0.242306
95.401, 0.242306
95.401, 0.242306
95.418, 0.242306
95.435, 0.242306
95.435, 0.242306
95.452, 0.242306
95.469, 0.242306
95.469, 0.242306
95.486, 0.242306
95.503, 0.242306
95.503, 0.242306
95.52, 0.242306
95.537, 0.242306
95.537, 0.242306
95.554, 0.242306
95.571, 0.242306
95.571, 0.242306
95.588, 0.242306
95.605, 0.242306
95.605, 0.242306
95.622, 0.242306
95.639, 0.242306
95.639, 0.242306
95.656, 0.242306
95.656, 0.242306
95.673, 0.242306
95.69, 0.242306
95.69, 0.242306
95.707, 0.242306
95.724, 0.242306
95.724, 0.242306
95.741, 0.242306
95.757, 0.242306
95.757, 0.242306
95.774, 0.242306
95.774, 0.242306
95.791, 0.242306
95.808, 0.242306
95.808, 0.242306
95.825, 0.242306
95.842, 0.242306
95.842, 0.242306
95.859, 0.242306
95.876, 0.242306
95.876, 0.242306
95.893, 0.242306
95.91, 0.242306
95.91, 0.242306
95.927, 0.242306
95.944, 0.242306
95.944, 0.242306
95.961, 0.242306
95.978, 0.242306
95.978, 0.242306
95.995, 0.242306
96.012, 0.242306
96.012, 0.242306
96.029, 0.242306
96.046, 0.242306
96.046, 0.242306
96.063, 0.242306
96.063, 0.242306
96.08, 0.242306
96.096, 0.242306
96.096, 0.242306
96.113, 0.242306
96.13, 0.242306
96.13, 0.242306
96.147, 0.242306
96.164, 0.242306
96.164, 0.242306
96.181, 0.242306
96.198, 0.242306
96.198, 0.242306
96.215, 0.242306
96.232, 0.242306
96.232, 0.242306
96.249, 0.242306
96.266, 0.242306
96.266, 0.242306
96.283, 0.242306
96.3, 0.242306
96.3, 0.242306
96.317, 0.242306
96.334, 0.242306
96.334, 0.242306
96.351, 0.242306
96.351, 0.242306
96.368, 0.242306
96.385, 0.242306
96.385, 0.242306
96.402, 0.242306
96.419, 0.242306
96.419, 0.242306
96.436, 0.242306
96.453, 0.242306
96.453, 0.242306
96.47, 0.242306
96.487, 0.242306
96.487, 0.242306
96.504, 0.242306
96.504, 0.242306
96.521, 0.242306
96.537, 0.242306
96.537, 0.242306
96.554, 0.242306
96.57, 0.242306
96.57, 0.242306
96.588, 0.242306
96.605, 0.242306
96.605, 0.242306
96.622, 0.242306
96.639, 0.242306
96.639, 0.242306
96.656, 0.242306
96.673, 0.242306
96.673, 0.242306
96.69, 0.242306
96.707, 0.242306
96.707, 0.242306
96.724, 0.242306
96.741, 0.242306
96.741, 0.242306
96.758, 0.242306
96.775, 0.242306
96.775, 0.242306
96.792, 0.242306
96.809, 0.242306
96.809, 0.242306
96.826, 0.242306
96.826, 0.242306
96.843, 0.242306
96.86, 0.242306
96.86, 0.242306
96.877, 0.242306
96.894, 0.242306
96.894, 0.242306
96.911, 0.242306
96.911, 0.242306
96.927, 0.242306
96.944, 0.242306
96.944, 0.242306
96.961, 0.242306
96.978, 0.242306
96.978, 0.242306
96.995, 0.242306
97.012, 0.242306
97.029, 0.242306
97.046, 0.242306
97.063, 0.242306
97.08, 0.242306
97.097, 0.242306
97.114, 0.242306
97.131, 0.242306
97.148, 0.242306
97.165, 0.242306
97.182, 0.242306
97.199, 0.242306
97.216, 0.242306
97.233, 0.242306
97.25, 0.242306
97.267, 0.242306
97.284, 0.242306
97.301, 0.242306
97.301, 0.242306
97.318, 0.242306
97.335, 0.242306
97.352, 0.242306
97.369, 0.242306
97.386, 0.242306
97.386, 0.242306
97.403, 0.242306
97.42, 0.242306
97.437, 0.242306
97.437, 0.242306
97.454, 0.242306
97.454, 0.242306
97.471, 0.242306
97.488, 0.242306
97.488, 0.242306
97.505, 0.242306
97.522, 0.242306
97.522, 0.242306
97.539, 0.242306
97.556, 0.242306
97.556, 0.242306
97.572, 0.242306
97.572, 0.242306
97.588, 0.242306
97.605, 0.242306
97.605, 0.242306
97.622, 0.242306
97.639, 0.242306
97.639, 0.242306
97.656, 0.242306
97.673, 0.242306
97.673, 0.242306
97.69, 0.242306
97.707, 0.242306
97.707, 0.242306
97.724, 0.242306
97.741, 0.242306
97.741, 0.242306
97.758, 0.242306
97.775, 0.242306
97.775, 0.242306
97.792, 0.242306
97.809, 0.242306
97.809, 0.242306
97.826, 0.242306
97.843, 0.242306
97.843, 0.242306
97.86, 0.242306
97.877, 0.242306
97.877, 0.242306
97.894, 0.242306
97.894, 0.242306
97.911, 0.242306
97.928, 0.242306
97.928, 0.242306
97.945, 0.242306
97.962, 0.242306
97.962, 0.242306
97.979, 0.242306
97.996, 0.242306
97.996, 0.242306
98.013, 0.242306
98.03, 0.242306
98.03, 0.242306
98.047, 0.242306
98.064, 0.242306
98.064, 0.242306
98.081, 0.242306
98.098, 0.242306
98.098, 0.242306
98.115, 0.242306
98.115, 0.242306
98.131, 0.242306
98.148, 0.242306
98.148, 0.242306
98.165, 0.242306
98.182, 0.242306
98.182, 0.242306
98.199, 0.242306
98.216, 0.242306
98.216, 0.242306
98.233, 0.242306
98.25, 0.242306
98.25, 0.242306
98.267, 0.242306
98.284, 0.242306
98.284, 0.242306
